#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
41,6.0,SPEeD S60 Racing Team S60 Challange,3.0,3.0,1:09.965,110'6,3:42.653,10:05:57.238,94.0,145.0,3.0,,4800537.0,0.0,,R2,No
42,3.0,Team Häsen Racing Sweden VW Polo,3.0,3.0,1:11.194,108'7,3:43.673,10:05:58.258,89.0,145.0,3.0,,9515691.0,0.0,,R1,No
43,2.0,Team Skeppsbrons BMW M3 E36,3.0,3.0,1:10.195,110'3,3:44.249,10:05:58.834,139.0,163.0,3.0,,4867808.0,0.0,,R1,No
44,99997.0,clio helvit N/N,3.0,3.0,1:10.192,110'3,3:44.790,10:05:59.375,130.0,168.0,3.0,,641641.0,0.0,,GT Open,No
45,86.0,clio 86,3.0,3.0,1:08.322,113'3,3:46.355,10:06:00.940,138.0,166.0,3.0,,7722174.0,0.0,,GT Open,No
46,71.0,Roslagen Racing BMW 323 Compact,3.0,3.0,1:14.729,103'6,4:02.648,10:06:17.233,105.0,152.0,3.0,,7637509.0,0.0,,Standard,No
47,44.0,Tommes Pack Seat Leon,4.0,4.0,1:06.469,116'4,4:39.928,10:06:54.513,143.0,177.0,3.0,,9788538.0,0.0,,R2,No
48,47.0,Nordic Light Racing Seat Leon,4.0,4.0,1:07.506,114'7,4:42.377,10:06:56.962,85.0,154.0,3.0,,7650748.0,0.0,,R2,No
49,30.0,Team Gävlarna Clio ,4.0,4.0,1:07.411,114'8,4:44.329,10:06:58.914,117.0,160.0,3.0,,3289056.0,0.0,,R1,No
50,27.0,B.E.T BMW 330,4.0,4.0,1:07.787,114'2,4:45.388,10:06:59.973,98.0,153.0,3.0,,7493526.0,0.0,,R1,No
51,4.0,SMK Racing Renault Clio,4.0,4.0,1:07.667,114'4,4:46.630,10:07:01.215,148.0,172.0,3.0,,7622978.0,0.0,,R1,No
52,6.0,SPEeD S60 Racing Team S60 Challange,4.0,4.0,1:09.785,110'9,4:52.438,10:07:07.023,94.0,145.0,3.0,,4800537.0,0.0,,R2,No
