#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class,Deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
212,27,B.E.T BMW 330,23,23,1:07.159,115'2,26:58.282,10:29:12.867,102,157,4,,7493526,0,,R1,No
213,6,SPEeD S60 Racing Team S60 Challange,23,23,1:06.855,115'8,26:58.804,10:29:13.389,87,144,4,,4800537,0,,R2,No
214,44,Tommes Pack Seat Leon,24,24,1:05.211,118'7,27:13.298,10:29:27.883,140,176,4,,9788538,0,,R2,No
215,30,Team Gävlarna Clio ,24,24,1:06.427,116'5,27:18.902,10:29:33.487,119,161,4,,3289056,0,,R1,No
216,2,Team Skeppsbrons BMW M3 E36,23,24,1:09.408,111'5,27:23.298,10:29:37.883,126,160,3,,4867808,0,,R1,No
217,3,Team Häsen Racing Sweden VW Polo,23,24,1:11.747,107'9,27:45.408,10:29:59.993,103,148,3,,9515691,0,,R1,No
218,4,SMK Racing Renault Clio,24,24,1:07.139,115'3,28:03.946,10:30:18.531,143,173,3,,7622978,0,,R1,No
219,27,B.E.T BMW 330,24,24,1:06.858,115'8,28:05.140,10:30:19.725,99,153,3,,7493526,0,,R1,No
220,6,SPEeD S60 Racing Team S60 Challange,24,24,1:07.032,115'5,28:05.836,10:30:20.421,91,144,3,,4800537,0,,R2,No
221,44,Tommes Pack Seat Leon,25,25,1:06.161,117'0,28:19.459,10:30:34.044,150,177,3,,9788538,0,,R2,No
222,30,Team Gävlarna Clio ,25,25,1:06.696,116'0,28:25.598,10:30:40.183,109,155,4,,3289056,0,,R1,No
223,2,Team Skeppsbrons BMW M3 E36,24,25,1:09.601,111'2,28:32.899,10:30:47.484,118,160,4,,4867808,0,,R1,No
224,3,Team Häsen Racing Sweden VW Polo,24,25,1:11.134,108'8,28:56.542,10:31:11.127,87,145,4,,9515691,0,,R1,No
225,4,SMK Racing Renault Clio,25,25,1:07.647,114'4,29:11.593,10:31:26.178,144,173,4,,7622978,0,,R1,No
226,27,B.E.T BMW 330,25,25,1:07.301,115'0,29:12.441,10:31:27.026,101,157,4,,7493526,0,,R1,No
227,6,SPEeD S60 Racing Team S60 Challange,25,25,1:07.207,115'2,29:13.043,10:31:27.628,88,141,4,,4800537,0,,R2,No
228,44,Tommes Pack Seat Leon,26,26,1:06.342,116'7,29:25.801,10:31:40.386,143,177,4,,9788538,0,,R2,No
229,30,Team Gävlarna Clio ,26,26,1:06.635,116'2,29:32.233,10:31:46.818,111,159,4,,3289056,0,,R1,No
230,2,Team Skeppsbrons BMW M3 E36,25,26,1:09.282,111'7,29:42.181,10:31:56.766,116,154,4,,4867808,0,,R1,No
231,3,Team Häsen Racing Sweden VW Polo,25,26,1:13.265,105'6,30:09.807,10:32:24.392,102,148,4,,9515691,0,,R1,No
232,4,SMK Racing Renault Clio,26,26,1:06.810,115'9,30:18.403,10:32:32.988,142,174,4,,7622978,0,,R1,No
233,27,B.E.T BMW 330,26,26,1:07.228,115'1,30:19.669,10:32:34.254,111,157,4,,7493526,0,,R1,No
234,6,SPEeD S60 Racing Team S60 Challange,26,26,1:07.312,115'0,30:20.355,10:32:34.940,90,143,4,,4800537,0,,R2,No
235,44,Tommes Pack Seat Leon,27,27,1:08.424,113'1,30:34.225,10:32:48.810,154,178,4,,9788538,0,,R2,No
236,30,Team Gävlarna Clio ,27,27,1:07.225,115'1,30:39.458,10:32:54.043,109,159,4,,3289056,0,,R1,No
237,2,Team Skeppsbrons BMW M3 E36,26,27,1:10.018,110'5,30:52.199,10:33:06.784,131,154,4,,4867808,0,,R1,No
238,3,Team Häsen Racing Sweden VW Polo,26,27,1:12.985,106'0,31:22.792,10:33:37.377,98,147,4,,9515691,0,,R1,No
239,4,SMK Racing Renault Clio,27,27,1:06.650,116'1,31:25.053,10:33:39.638,146,172,4,,7622978,0,,R1,No
240,27,B.E.T BMW 330,27,27,1:06.998,115'5,31:26.667,10:33:41.252,106,157,4,,7493526,0,,R1,No
241,6,SPEeD S60 Racing Team S60 Challange,27,27,1:07.068,115'4,31:27.423,10:33:42.008,90,143,4,,4800537,0,,R2,No
242,44,Tommes Pack Seat Leon,28,28,1:06.431,116'5,31:40.656,10:33:55.241,145,178,4,,9788538,0,,R2,No
243,30,Team Gävlarna Clio ,28,28,1:07.498,114'7,31:46.956,10:34:01.541,109,157,4,,3289056,0,,R1,No
244,2,Team Skeppsbrons BMW M3 E36,27,28,1:09.520,111'3,32:01.719,10:34:16.304,117,161,4,,4867808,0,,R1,No
245,3,Team Häsen Racing Sweden VW Polo,27,28,1:10.928,109'1,32:33.720,10:34:48.305,94,150,4,,9515691,0,,R1,No
246,4,SMK Racing Renault Clio,28,28,1:08.767,112'6,32:33.820,10:34:48.405,112,166,4,,7622978,0,,R1,No
247,6,SPEeD S60 Racing Team S60 Challange,28,28,1:07.067,115'4,32:34.490,10:34:49.075,91,146,4,,4800537,0,,R2,No
248,27,B.E.T BMW 330,28,28,1:08.725,112'6,32:35.392,10:34:49.977,107,154,4,,7493526,0,,R1,No
249,44,Tommes Pack Seat Leon,29,29,1:05.732,117'8,32:46.388,10:35:00.973,148,179,4,,9788538,0,,R2,No
250,30,Team Gävlarna Clio ,29,29,1:07.285,115'0,32:54.241,10:35:08.826,119,161,4,,3289056,0,,R1,No
251,2,Team Skeppsbrons BMW M3 E36,28,29,1:08.856,112'4,33:10.575,10:35:25.160,137,162,4,,4867808,0,,R1,No
252,4,SMK Racing Renault Clio,29,29,1:07.416,114'8,33:41.236,10:35:55.821,142,173,3,,7622978,0,,R1,No
253,6,SPEeD S60 Racing Team S60 Challange,29,29,1:07.837,114'1,33:42.327,10:35:56.912,87,142,3,,4800537,0,,R2,No
254,27,B.E.T BMW 330,29,29,1:07.872,114'0,33:43.264,10:35:57.849,104,153,3,,7493526,0,,R1,No
255,3,Team Häsen Racing Sweden VW Polo,28,29,1:11.774,107'8,33:45.494,10:36:00.079,92,146,3,,9515691,0,,R1,No
256,44,Tommes Pack Seat Leon,30,30,1:05.337,118'5,33:51.725,10:36:06.310,146,179,3,,9788538,0,,R2,No
257,30,Team Gävlarna Clio ,30,30,1:06.681,116'1,34:00.922,10:36:15.507,123,162,3,,3289056,0,,R1,No
258,2,Team Skeppsbrons BMW M3 E36,29,30,1:08.570,112'9,34:19.145,10:36:33.730,130,161,3,,4867808,0,,R1,No
259,4,SMK Racing Renault Clio,30,30,1:07.408,114'8,34:48.644,10:37:03.229,144,174,3,,7622978,0,,R1,No
260,6,SPEeD S60 Racing Team S60 Challange,30,30,1:06.939,115'6,34:49.266,10:37:03.851,90,143,3,,4800537,0,,R2,No
261,27,B.E.T BMW 330,30,30,1:07.109,115'3,34:50.373,10:37:04.958,105,153,3,,7493526,0,,R1,No
262,3,Team Häsen Racing Sweden VW Polo,29,30,1:13.965,104'6,34:59.459,10:37:14.044,107,150,3,,9515691,0,,R1,No
263,44,Tommes Pack Seat Leon,31,31,1:07.929,113'9,34:59.654,10:37:14.239,136,175,3,,9788538,0,,R2,No
264,30,Team Gävlarna Clio ,31,31,1:06.993,115'5,35:07.915,10:37:22.500,112,157,3,,3289056,0,,R1,No
265,2,Team Skeppsbrons BMW M3 E36,30,31,1:08.747,112'6,35:27.892,10:37:42.477,135,163,3,,4867808,0,,R1,No
266,4,SMK Racing Renault Clio,31,31,1:06.834,115'8,35:55.478,10:38:10.063,143,174,3,,7622978,0,,R1,No
267,6,SPEeD S60 Racing Team S60 Challange,31,31,1:06.715,116'0,35:55.981,10:38:10.566,88,144,3,,4800537,0,,R2,No
268,27,B.E.T BMW 330,31,31,1:07.265,115'1,35:57.638,10:38:12.223,113,155,3,,7493526,0,,R1,No
269,44,Tommes Pack Seat Leon,32,32,1:05.237,118'6,36:04.891,10:38:19.476,145,178,3,,9788538,0,,R2,No
270,3,Team Häsen Racing Sweden VW Polo,30,32,1:14.025,104'6,36:13.484,10:38:28.069,97,147,3,,9515691,0,,R1,No
271,30,Team Gävlarna Clio ,32,32,1:07.215,115'2,36:15.130,10:38:29.715,119,161,3,,3289056,0,,R1,No
272,2,Team Skeppsbrons BMW M3 E36,31,32,1:09.317,111'7,36:37.209,10:38:51.794,133,160,3,,4867808,0,,R1,No
273,6,SPEeD S60 Racing Team S60 Challange,32,32,1:06.542,116'3,37:02.523,10:39:17.108,89,143,3,,4800537,0,,R2,No
274,4,SMK Racing Renault Clio,32,32,1:08.815,112'5,37:04.293,10:39:18.878,146,172,3,,7622978,0,,R1,No
275,27,B.E.T BMW 330,32,32,1:09.027,112'1,37:06.665,10:39:21.250,108,153,3,,7493526,0,,R1,No
276,44,Tommes Pack Seat Leon,33,33,1:05.254,118'6,37:10.145,10:39:24.730,147,177,3,,9788538,0,,R2,No
277,30,Team Gävlarna Clio ,33,33,1:07.586,114'5,37:22.716,10:39:37.301,119,161,4,,3289056,0,,R1,No
278,3,Team Häsen Racing Sweden VW Polo,31,33,1:11.970,107'5,37:25.454,10:39:40.039,107,147,4,,9515691,0,,R1,No
279,2,Team Skeppsbrons BMW M3 E36,32,33,1:09.183,111'9,37:46.392,10:40:00.977,130,160,4,,4867808,0,,R1,No
280,6,SPEeD S60 Racing Team S60 Challange,33,33,1:07.427,114'8,38:09.950,10:40:24.535,94,143,4,,4800537,0,,R2,No
281,4,SMK Racing Renault Clio,33,33,1:07.964,113'9,38:12.257,10:40:26.842,149,172,4,,7622978,0,,R1,No
282,27,B.E.T BMW 330,33,33,1:07.674,114'4,38:14.339,10:40:28.924,117,158,4,,7493526,0,,R1,No
283,44,Tommes Pack Seat Leon,34,34,1:04.970,119'1,38:15.115,10:40:29.700,152,178,4,,9788538,0,,R2,No
284,30,Team Gävlarna Clio ,34,34,1:07.850,114'1,38:30.566,10:40:45.151,117,159,4,,3289056,0,,R1,No
285,3,Team Häsen Racing Sweden VW Polo,32,34,1:14.062,104'5,38:39.516,10:40:54.101,103,147,4,,9515691,0,,R1,No
286,2,Team Skeppsbrons BMW M3 E36,33,34,1:09.850,110'8,38:56.242,10:41:10.827,137,159,4,,4867808,0,,R1,No
287,6,SPEeD S60 Racing Team S60 Challange,34,34,1:07.611,114'5,39:17.561,10:41:32.146,90,142,4,,4800537,0,,R2,No
288,4,SMK Racing Renault Clio,34,34,1:08.366,113'2,39:20.623,10:41:35.208,142,174,4,,7622978,0,,R1,No
289,44,Tommes Pack Seat Leon,35,35,1:07.300,115'0,39:22.415,10:41:37.000,150,178,3,,9788538,0,,R2,No
290,27,B.E.T BMW 330,34,35,1:09.607,111'2,39:23.946,10:41:38.531,108,154,3,,7493526,0,,R1,No
291,30,Team Gävlarna Clio ,35,35,1:06.614,116'2,39:37.180,10:41:51.765,122,162,3,,3289056,0,,R1,No
292,3,Team Häsen Racing Sweden VW Polo,33,35,1:13.983,104'6,39:53.499,10:42:08.084,103,149,3,,9515691,0,,R1,No
293,2,Team Skeppsbrons BMW M3 E36,34,35,1:09.147,111'9,40:05.389,10:42:19.974,137,162,3,,4867808,0,,R1,No
294,6,SPEeD S60 Racing Team S60 Challange,35,35,1:07.777,114'2,40:25.338,10:42:39.923,88,143,3,,4800537,0,,R2,No
295,44,Tommes Pack Seat Leon,36,36,1:04.436,120'1,40:26.851,10:42:41.436,141,176,3,,9788538,0,,R2,No
296,4,SMK Racing Renault Clio,35,36,1:07.582,114'5,40:28.205,10:42:42.790,140,173,3,,7622978,0,,R1,No
297,27,B.E.T BMW 330,35,36,1:07.923,114'0,40:31.869,10:42:46.454,107,153,3,,7493526,0,,R1,No
298,30,Team Gävlarna Clio ,36,36,1:06.716,116'0,40:43.896,10:42:58.481,119,161,3,,3289056,0,,R1,No
299,3,Team Häsen Racing Sweden VW Polo,34,36,1:13.622,105'1,41:07.121,10:43:21.706,98,147,3,,9515691,0,,R1,No
300,2,Team Skeppsbrons BMW M3 E36,35,36,1:09.130,112'0,41:14.519,10:43:29.104,122,154,3,,4867808,0,,R1,No
301,44,Tommes Pack Seat Leon,37,37,1:06.411,116'5,41:33.262,10:43:47.847,158,178,3,,9788538,0,,R2,No
302,4,SMK Racing Renault Clio,36,37,1:07.752,114'2,41:35.957,10:43:50.542,138,172,3,,7622978,0,,R1,No
303,27,B.E.T BMW 330,36,37,1:08.450,113'1,41:40.319,10:43:54.904,119,157,3,,7493526,0,,R1,No
304,30,Team Gävlarna Clio ,37,37,1:07.819,114'1,41:51.715,10:44:06.300,117,161,3,,3289056,0,,R1,No
305,3,Team Häsen Racing Sweden VW Polo,35,37,1:14.870,103'4,42:21.991,10:44:36.576,94,146,3,,9515691,0,,R1,No
306,2,Team Skeppsbrons BMW M3 E36,36,37,1:08.817,112'5,42:23.336,10:44:37.921,130,157,3,,4867808,0,,R1,No
307,44,Tommes Pack Seat Leon,38,38,1:05.967,117'3,42:39.229,10:44:53.814,147,177,3,,9788538,0,,R2,No
308,4,SMK Racing Renault Clio,37,38,1:08.228,113'4,42:44.185,10:44:58.770,144,173,3,,7622978,0,,R1,No
309,27,B.E.T BMW 330,37,38,1:07.212,115'2,42:47.531,10:45:02.116,111,156,3,,7493526,0,,R1,No
310,30,Team Gävlarna Clio ,38,38,1:06.936,115'6,42:58.651,10:45:13.236,113,159,3,,3289056,0,,R1,No
311,2,Team Skeppsbrons BMW M3 E36,37,38,1:09.127,112'0,43:32.463,10:45:47.048,126,154,4,,4867808,0,,R1,No
312,3,Team Häsen Racing Sweden VW Polo,36,38,1:13.592,105'2,43:35.583,10:45:50.168,98,147,4,,9515691,0,,R1,No
313,44,Tommes Pack Seat Leon,39,39,1:06.390,116'6,43:45.619,10:46:00.204,152,176,4,,9788538,0,,R2,No
314,4,SMK Racing Renault Clio,38,39,1:07.933,113'9,43:52.118,10:46:06.703,138,173,4,,7622978,0,,R1,No
315,27,B.E.T BMW 330,38,39,1:07.529,114'6,43:55.060,10:46:09.645,110,156,4,,7493526,0,,R1,No
316,30,Team Gävlarna Clio ,39,39,1:06.750,116'0,44:05.401,10:46:19.986,116,160,4,,3289056,0,,R1,No
317,2,Team Skeppsbrons BMW M3 E36,38,39,1:08.494,113'0,44:40.957,10:46:55.542,130,156,3,,4867808,0,,R1,No
318,6,SPEeD S60 Racing Team S60 Challange,36,39,4:23.815,29'3,44:49.153,10:47:03.738,104,146,3,,4800537,0,,R2,No
319,3,Team Häsen Racing Sweden VW Polo,37,39,1:14.531,103'8,44:50.114,10:47:04.699,100,147,3,,9515691,0,,R1,No
320,44,Tommes Pack Seat Leon,40,40,1:05.964,117'3,44:51.583,10:47:06.168,149,177,3,,9788538,0,,R2,No
321,4,SMK Racing Renault Clio,39,40,1:07.776,114'2,44:59.894,10:47:14.479,144,173,3,,7622978,0,,R1,No
322,27,B.E.T BMW 330,39,40,1:07.666,114'4,45:02.726,10:47:17.311,104,154,3,,7493526,0,,R1,No
323,30,Team Gävlarna Clio ,40,40,1:06.429,116'5,45:11.830,10:47:26.415,122,162,3,,3289056,0,,R1,No
324,2,Team Skeppsbrons BMW M3 E36,39,40,1:08.071,113'7,45:49.028,10:48:03.613,130,159,3,,4867808,0,,R1,No
325,44,Tommes Pack Seat Leon,41,41,1:10.353,110'0,46:01.936,10:48:16.521,143,177,3,,9788538,0,,R2,No
326,3,Team Häsen Racing Sweden VW Polo,38,41,1:16.250,101'5,46:06.364,10:48:20.949,92,145,3,,9515691,0,,R1,No
327,4,SMK Racing Renault Clio,40,41,1:12.135,107'3,46:12.029,10:48:26.614,145,173,3,,7622978,0,,R1,No
328,27,B.E.T BMW 330,40,41,1:10.481,109'8,46:13.207,10:48:27.792,108,154,3,,7493526,0,,R1,No
329,6,SPEeD S60 Racing Team S60 Challange,37,41,1:25.206,90'8,46:14.359,10:48:28.944,103,145,3,,4800537,0,,R2,No
330,99997,clio helvit N/N,16,41,28:41.693,4'5,46:18.023,10:48:32.608,129,166,3,,641641,0,,GT Open,No
331,30,Team Gävlarna Clio ,41,41,1:06.636,116'2,46:18.466,10:48:33.051,124,161,3,,3289056,0,,R1,No
332,2,Team Skeppsbrons BMW M3 E36,40,41,1:08.304,113'3,46:57.332,10:49:11.917,128,158,3,,4867808,0,,R1,No
333,44,Tommes Pack Seat Leon,42,42,1:06.254,116'8,47:08.190,10:49:22.775,155,179,3,,9788538,0,,R2,No
334,3,Team Häsen Racing Sweden VW Polo,39,42,1:14.214,104'3,47:20.578,10:49:35.163,99,149,3,,9515691,0,,R1,No
335,4,SMK Racing Renault Clio,41,42,1:08.713,112'6,47:20.742,10:49:35.327,101,168,3,,7622978,0,,R1,No
336,27,B.E.T BMW 330,41,42,1:07.992,113'8,47:21.199,10:49:35.784,130,160,3,,7493526,0,,R1,No
337,30,Team Gävlarna Clio ,42,42,1:09.375,111'6,47:27.841,10:49:42.426,105,156,3,,3289056,0,,R1,No
338,99997,clio helvit N/N,17,42,1:16.048,101'8,47:34.071,10:49:48.656,182,165,3,,641641,0,,GT Open,No
339,6,SPEeD S60 Racing Team S60 Challange,38,42,1:22.702,93'6,47:37.061,10:49:51.646,100,143,3,,4800537,0,,R2,No
340,2,Team Skeppsbrons BMW M3 E36,41,42,1:08.632,112'8,48:05.964,10:50:20.549,129,158,3,,4867808,0,,R1,No
341,44,Tommes Pack Seat Leon,43,43,1:07.868,114'0,48:16.058,10:50:30.643,156,178,3,,9788538,0,,R2,No
342,4,SMK Racing Renault Clio,42,43,1:06.575,116'3,48:27.317,10:50:41.902,136,174,3,,7622978,0,,R1,No
343,27,B.E.T BMW 330,42,43,1:11.314,108'5,48:32.513,10:50:47.098,113,155,3,,7493526,0,,R1,No
344,3,Team Häsen Racing Sweden VW Polo,40,43,1:12.799,106'3,48:33.377,10:50:47.962,101,147,3,,9515691,0,,R1,No
345,30,Team Gävlarna Clio ,43,43,1:06.651,116'1,48:34.492,10:50:49.077,120,160,3,,3289056,0,,R1,No
346,99997,clio helvit N/N,18,43,1:10.655,109'5,48:44.726,10:50:59.311,127,167,3,,641641,0,,GT Open,No
347,6,SPEeD S60 Racing Team S60 Challange,39,43,1:19.905,96'9,48:56.966,10:51:11.551,100,146,3,,4800537,0,,R2,No
348,2,Team Skeppsbrons BMW M3 E36,42,43,1:08.553,112'9,49:14.517,10:51:29.102,127,160,3,,4867808,0,,R1,No
349,44,Tommes Pack Seat Leon,44,44,1:06.524,116'3,49:22.582,10:51:37.167,154,179,4,,9788538,0,,R2,No
350,4,SMK Racing Renault Clio,43,44,1:07.251,115'1,49:34.568,10:51:49.153,147,173,4,,7622978,0,,R1,No
351,27,B.E.T BMW 330,43,44,1:07.672,114'4,49:40.185,10:51:54.770,111,154,4,,7493526,0,,R1,No
352,30,Team Gävlarna Clio ,44,44,1:07.870,114'0,49:42.362,10:51:56.947,107,157,4,,3289056,0,,R1,No
353,3,Team Häsen Racing Sweden VW Polo,41,44,1:11.815,107'8,49:45.192,10:51:59.777,101,147,4,,9515691,0,,R1,No
354,99997,clio helvit N/N,19,44,1:06.521,116'4,49:51.247,10:52:05.832,133,167,4,,641641,0,,GT Open,No
355,6,SPEeD S60 Racing Team S60 Challange,40,44,1:19.604,97'2,50:16.570,10:52:31.155,102,145,4,,4800537,0,,R2,No
356,2,Team Skeppsbrons BMW M3 E36,43,44,1:09.178,111'9,50:23.695,10:52:38.280,133,161,3,,4867808,0,,R1,No
357,44,Tommes Pack Seat Leon,45,45,1:08.289,113'3,50:30.871,10:52:45.456,149,178,3,,9788538,0,,R2,No
358,4,SMK Racing Renault Clio,44,45,1:07.265,115'1,50:41.833,10:52:56.418,143,173,3,,7622978,0,,R1,No
359,27,B.E.T BMW 330,44,45,1:07.770,114'2,50:47.955,10:53:02.540,108,153,3,,7493526,0,,R1,No
360,30,Team Gävlarna Clio ,45,45,1:06.503,116'4,50:48.865,10:53:03.450,112,159,3,,3289056,0,,R1,No
361,3,Team Häsen Racing Sweden VW Polo,42,45,1:12.530,106'7,50:57.722,10:53:12.307,97,148,3,,9515691,0,,R1,No
362,99997,clio helvit N/N,20,45,1:06.735,116'0,50:57.982,10:53:12.567,141,169,3,,641641,0,,GT Open,No
363,6,SPEeD S60 Racing Team S60 Challange,41,45,1:18.198,99'0,51:34.768,10:53:49.353,98,145,3,,4800537,0,,R2,No
364,2,Team Skeppsbrons BMW M3 E36,44,45,1:11.452,108'3,51:35.147,10:53:49.732,152,162,3,,4867808,0,,R1,No
365,44,Tommes Pack Seat Leon,46,46,1:06.329,116'7,51:37.200,10:53:51.785,144,179,3,,9788538,0,,R2,No
366,4,SMK Racing Renault Clio,45,46,1:07.432,114'8,51:49.265,10:54:03.850,138,172,3,,7622978,0,,R1,No
367,27,B.E.T BMW 330,45,46,1:07.732,114'3,51:55.687,10:54:10.272,123,154,3,,7493526,0,,R1,No
368,30,Team Gävlarna Clio ,46,46,1:07.134,115'3,51:55.999,10:54:10.584,126,163,3,,3289056,0,,R1,No
369,99997,clio helvit N/N,21,46,1:06.959,115'6,52:04.941,10:54:19.526,129,167,3,,641641,0,,GT Open,No
370,3,Team Häsen Racing Sweden VW Polo,43,46,1:11.155,108'8,52:08.877,10:54:23.462,89,145,3,,9515691,0,,R1,No
371,2,Team Skeppsbrons BMW M3 E36,45,46,1:09.516,111'3,52:44.663,10:54:59.248,134,159,4,,4867808,0,,R1,No
372,44,Tommes Pack Seat Leon,47,47,1:12.082,107'4,52:49.282,10:55:03.867,152,178,4,,9788538,0,,R2,No
373,6,SPEeD S60 Racing Team S60 Challange,42,47,1:18.347,98'8,52:53.115,10:55:07.700,100,147,4,,4800537,0,,R2,No
374,4,SMK Racing Renault Clio,46,47,1:07.873,114'0,52:57.138,10:55:11.723,144,172,4,,7622978,0,,R1,No
375,30,Team Gävlarna Clio ,47,47,1:06.087,117'1,53:02.086,10:55:16.671,121,162,4,,3289056,0,,R1,No
376,27,B.E.T BMW 330,46,47,1:10.377,110'0,53:06.064,10:55:20.649,120,158,4,,7493526,0,,R1,No
377,3,Team Häsen Racing Sweden VW Polo,44,47,1:12.444,106'8,53:21.321,10:55:35.906,91,145,4,,9515691,0,,R1,No
378,2,Team Skeppsbrons BMW M3 E36,46,47,1:09.901,110'7,53:54.564,10:56:09.149,133,159,4,,4867808,0,,R1,No
379,44,Tommes Pack Seat Leon,48,48,1:09.063,112'1,53:58.345,10:56:12.930,146,175,4,,9788538,0,,R2,No
380,4,SMK Racing Renault Clio,47,48,1:08.902,112'3,54:06.040,10:56:20.625,144,174,4,,7622978,0,,R1,No
381,30,Team Gävlarna Clio ,48,48,1:08.662,112'7,54:10.748,10:56:25.333,128,162,4,,3289056,0,,R1,No
382,6,SPEeD S60 Racing Team S60 Challange,43,48,1:18.361,98'8,54:11.476,10:56:26.061,106,145,4,,4800537,0,,R2,No
383,27,B.E.T BMW 330,47,48,1:12.227,107'2,54:18.291,10:56:32.876,106,153,4,,7493526,0,,R1,No
384,3,Team Häsen Racing Sweden VW Polo,45,48,1:13.940,104'7,54:35.261,10:56:49.846,90,145,3,,9515691,0,,R1,No
385,2,Team Skeppsbrons BMW M3 E36,47,48,1:09.683,111'1,55:04.247,10:57:18.832,134,159,3,,4867808,0,,R1,No
386,44,Tommes Pack Seat Leon,49,49,1:07.933,113'9,55:06.278,10:57:20.863,147,179,3,,9788538,0,,R2,No
387,4,SMK Racing Renault Clio,48,49,1:07.969,113'9,55:14.009,10:57:28.594,145,173,3,,7622978,0,,R1,No
388,30,Team Gävlarna Clio ,49,49,1:06.607,116'2,55:17.355,10:57:31.940,121,162,3,,3289056,0,,R1,No
389,27,B.E.T BMW 330,48,49,1:10.612,109'6,55:28.903,10:57:43.488,110,159,13,,7493526,0,,R1,No
390,6,SPEeD S60 Racing Team S60 Challange,44,49,1:17.993,99'2,55:29.469,10:57:44.054,104,145,13,,4800537,0,,R2,No
391,3,Team Häsen Racing Sweden VW Polo,46,49,1:12.469,106'8,55:47.730,10:58:02.315,94,145,13,,9515691,0,,R1,No
392,99997,clio helvit N/N,22,49,4:05.091,31'6,56:10.032,10:58:24.617,131,167,13,,641641,0,,GT Open,No
393,44,Tommes Pack Seat Leon,50,50,1:09.997,110'6,56:16.275,10:58:30.860,153,179,13,,9788538,0,,R2,No
394,2,Team Skeppsbrons BMW M3 E36,48,50,1:17.739,99'6,56:21.986,10:58:36.571,134,160,13,,4867808,0,,R1,No
395,4,SMK Racing Renault Clio,49,50,1:08.502,113'0,56:22.511,10:58:37.096,145,172,3,,7622978,0,,R1,No
396,30,Team Gävlarna Clio ,50,50,1:06.512,116'4,56:23.867,10:58:38.452,124,162,3,,3289056,0,,R1,No
397,27,B.E.T BMW 330,49,50,1:08.911,112'3,56:37.814,10:58:52.399,113,155,3,,7493526,0,,R1,No
398,6,SPEeD S60 Racing Team S60 Challange,45,50,1:16.116,101'7,56:45.585,10:59:00.170,91,144,3,,4800537,0,,R2,No
399,3,Team Häsen Racing Sweden VW Polo,47,50,1:13.233,105'7,57:00.963,10:59:15.548,86,145,3,,9515691,0,,R1,No
400,99997,clio helvit N/N,23,50,1:06.504,116'4,57:16.536,10:59:31.121,131,167,3,,641641,0,,GT Open,No
401,44,Tommes Pack Seat Leon,51,51,1:07.818,114'1,57:24.093,10:59:38.678,155,178,3,,9788538,0,,R2,No
402,4,SMK Racing Renault Clio,50,51,1:09.023,112'1,57:31.534,10:59:46.119,146,173,3,,7622978,0,,R1,No
403,27,B.E.T BMW 330,50,51,1:10.879,109'2,57:48.693,11:00:03.278,134,155,3,,7493526,0,,R1,No
404,6,SPEeD S60 Racing Team S60 Challange,46,51,1:16.280,101'5,58:01.865,11:00:16.450,95,145,3,,4800537,0,,R2,No
405,3,Team Häsen Racing Sweden VW Polo,48,51,1:13.564,105'2,58:14.527,11:00:29.112,97,146,3,,9515691,0,,R1,No
406,6,SPEeD S60 Racing Team S60 Challange,47,51,1:17.644,99'7,59:19.509,11:01:34.094,94,146,4,,4800537,0,,R2,No
407,3,Team Häsen Racing Sweden VW Polo,49,51,1:13.319,105'6,59:27.846,11:01:42.431,90,145,3,,9515691,0,,R1,No
408,2,Team Skeppsbrons BMW M3 E36,49,51,3:45.160,34'4,1:00:07.146,11:02:21.731,137,158,3,,4867808,0,,R1,No
409,6,SPEeD S60 Racing Team S60 Challange,48,51,1:16.410,101'3,1:00:35.919,11:02:50.504,96,147,3,,4800537,0,,R2,No
410,2,Team Skeppsbrons BMW M3 E36,50,51,1:09.537,111'3,1:01:16.683,11:03:31.268,138,160,3,,4867808,0,,R1,No
411,6,SPEeD S60 Racing Team S60 Challange,49,51,1:17.335,100'1,1:01:53.254,11:04:07.839,95,144,3,,4800537,0,,R2,No
412,2,Team Skeppsbrons BMW M3 E36,51,51,1:10.354,110'0,1:02:27.037,11:04:41.622,140,162,3,,4867808,0,,R1,No
413,30,Team Gävlarna Clio ,51,51,6:06.781,21'1,1:02:30.648,11:04:45.233,124,161,3,,3289056,0,,R1,No
414,6,SPEeD S60 Racing Team S60 Challange,50,51,1:16.680,100'9,1:03:09.934,11:05:24.519,96,144,3,,4800537,0,,R2,No
415,4,SMK Racing Renault Clio,51,51,5:48.324,22'2,1:03:19.858,11:05:34.443,143,173,3,,7622978,0,,R1,No
416,44,Tommes Pack Seat Leon,52,52,5:57.930,21'6,1:03:22.023,11:05:36.608,141,176,3,,9788538,0,,R2,No
417,2,Team Skeppsbrons BMW M3 E36,52,52,1:08.680,112'7,1:03:35.717,11:05:50.302,135,157,4,,4867808,0,,R1,No
418,30,Team Gävlarna Clio ,52,52,1:09.092,112'0,1:03:39.740,11:05:54.325,123,162,4,,3289056,0,,R1,No
419,27,B.E.T BMW 330,51,52,6:23.302,20'2,1:04:11.995,11:06:26.580,114,155,4,,7493526,0,,R1,No
